distCode,shopNo,distName,latitude,longitude,utilization_ratio,portability_ratio,log_volatility,log_rice_wheat,persona,hdb_persona,behavioral_intensity_index
539,2338026,Nalgonda,16.97404,78.9732,0.88830763,0.039979894,6.7979264,8.424019,Stable Rural Mainstream,Core Cluster,0.4888364
539,2338207,Nalgonda,16.907867,79.02626,0.7189571,0.032544713,7.243157,8.803404,Stable Rural Mainstream,Core Cluster,0.44857225
539,2339001,Nalgonda,16.931889,79.30627,0.7577024,0.057606023,7.7067933,9.250773,Stable Rural Mainstream,Core Cluster,0.48429412
539,2339002,Nalgonda,16.931578,79.190865,0.87286687,0.06123081,6.363707,7.914744,High-Portability Transit Hubs,Core Cluster,0.47952375
539,2339003,Nalgonda,16.923782,79.22243,0.6766859,0.032651894,6.9898825,8.579008,High-Portability Transit Hubs,Core Cluster,0.42824554
539,2339004,Nalgonda,16.898666,79.201164,0.74837255,0.07936393,7.095378,8.6956625,Stable Rural Mainstream,Core Cluster,0.47163868
539,2339005,Nalgonda,16.905245,79.2323,0.8357774,0.11503269,6.8416986,8.33142,High-Portability Transit Hubs,Core Cluster,0.5044272
539,2339006,Nalgonda,16.99293,79.18543,1.0366997,0.33960667,7.8973355,9.460178,Urban Mobility-Driven,Core Cluster,0.6865775
539,2339007,Nalgonda,16.971502,79.14527,0.8296879,0.22603023,7.8054137,9.370548,Stable Rural Mainstream,Core Cluster,0.57625306
539,2339008,Nalgonda,16.970116,79.14669,0.68059117,0.20767313,7.39235,9.030723,Stable Rural Mainstream,Core Cluster,0.5116426
539,2339009,Nalgonda,16.956121,79.165535,0.7761192,0.03901063,7.1268406,8.637401,Stable Rural Mainstream,Core Cluster,0.46477643
539,2339010,Nalgonda,16.970009,79.11296,0.8231379,0.10325172,7.543465,9.19088,Stable Rural Mainstream,Core Cluster,0.51722515
539,2339011,Nalgonda,16.993395,79.11828,0.80598074,0.03345478,8.073868,9.7030115,Stable Rural Mainstream,Core Cluster,0.5002597
